elevation,temperature,pressure,density,relative_density
-420,290.88,106473.18349843000,366.0381720930630,1.0409464523919700
0,288.15,101325.00000000000,351.6397709526290,1.0000000000000000
1000,281.65,89874.78809616930,319.1009696295730,0.9074655257711480
2000,275.15,79495.60493435230,288.9173357599570,0.8216287224202490
3000,268.65,70109.06596715090,260.9680475233610,0.7421459945112900
4000,262.15,61640.85383739390,235.1358147525990,0.6686837899922180
5000,255.65,54020.59809472030,211.3068574016050,0.6009185389614850
6000,249.15,47181.75565439210,189.3708836218830,0.5385365913214460
7000,242.65,41061.49201199900,169.2210674304510,0.4812341532700170
8000,236.15,35600.56322831790,150.7540259509540,0.4287172225785100
9000,229.65,30743.19869924220,133.8697962083260,0.3807015225998450
10000,223.15,26436.98472638620,118.4718114559090,0.3369124349471530
11000,216.65,22632.74890472240,104.4668770123350,0.2970849307782330
12000,216.65,19330.35221086740,89.2238735788939,0.2537365820060030
13000,216.65,16510.36216844220,76.2075336646306,0.2167204621313920
14000,216.65,14101.76369056940,65.0900701157140,0.1851044036895440
15000,216.65,12044.54131023010,55.5944671600744,0.1581006238556670
16000,216.65,10287.43485971590,47.4841212080124,0.1350362647529120
17000,216.65,8786.66221211837,40.5569453594201,0.1153366277356710
18000,216.65,7504.82835446124,34.6403339693572,0.0985108535235162
19000,216.65,6409.99360966065,29.5868618031879,0.0841396913751649
20000,216.65,5474.87779003841,25.2706106163786,0.0718650525448752
21000,217.65,4677.87032690312,21.4926272772944,0.0611211502585974
22000,218.65,3999.77675444933,18.2930562746368,0.0520221481918242
23000,219.65,3422.42289804137,15.5812560803158,0.0443102782091587
24000,220.65,2930.48243008588,13.2811349652657,0.0377691491758333
25000,221.65,2511.01506187633,11.3287392820949,0.0322168884691403
26000,222.65,2153.08669346058,9.6702748415027,0.0275005151303135
27000,223.65,1847.45135830764,8.2604576718428,0.0234912497225906
28000,224.65,1586.28469630836,7.0611381985683,0.0200806017460394
29000,225.65,1362.96042947983,6.0401525791262,0.0171771030414530
30000,226.65,1171.86275447710,5.1703629140838,0.0147035783241378
31000,227.65,1008.22875774215,4.4288546353708,0.0125948627010322
32000,228.65,868.01594639429,3.7962647994502,0.0107958914577999
